Base de Treino,Base de Teste,Média,Batch
UFPR05,PUC,0.717 ~ 0.107,64
UFPR05,PUC,0.794 ~ 0.067,128
UFPR05,PUC,0.845 ~ 0.034,256
UFPR05,PUC,0.829 ~ 0.045,512
UFPR05,PUC,0.813 ~ 0.047,1024
UFPR05,UFPR04,0.671 ~ 0.118,64
UFPR05,UFPR04,0.697 ~ 0.122,128
UFPR05,UFPR04,0.761 ~ 0.071,256
UFPR05,UFPR04,0.787 ~ 0.055,512
UFPR05,UFPR04,0.806 ~ 0.074,1024
UFPR05,UFPR05,0.833 ~ 0.092,64
UFPR05,UFPR05,0.914 ~ 0.056,128
UFPR05,UFPR05,0.944 ~ 0.035,256
UFPR05,UFPR05,0.952 ~ 0.027,512
UFPR05,UFPR05,0.961 ~ 0.023,1024
UFPR05,camera1,0.678 ~ 0.088,64
UFPR05,camera1,0.734 ~ 0.048,128
UFPR05,camera1,0.768 ~ 0.065,256
UFPR05,camera1,0.762 ~ 0.060,512
UFPR05,camera1,0.749 ~ 0.052,1024
UFPR05,camera2,0.689 ~ 0.092,64
UFPR05,camera2,0.768 ~ 0.037,128
UFPR05,camera2,0.809 ~ 0.058,256
UFPR05,camera2,0.809 ~ 0.056,512
UFPR05,camera2,0.796 ~ 0.035,1024
UFPR05,camera3,0.760 ~ 0.101,64
UFPR05,camera3,0.843 ~ 0.057,128
UFPR05,camera3,0.876 ~ 0.067,256
UFPR05,camera3,0.872 ~ 0.050,512
UFPR05,camera3,0.858 ~ 0.034,1024
UFPR05,camera4,0.714 ~ 0.091,64
UFPR05,camera4,0.788 ~ 0.060,128
UFPR05,camera4,0.840 ~ 0.058,256
UFPR05,camera4,0.844 ~ 0.049,512
UFPR05,camera4,0.832 ~ 0.043,1024
UFPR05,camera5,0.711 ~ 0.094,64
UFPR05,camera5,0.765 ~ 0.066,128
UFPR05,camera5,0.824 ~ 0.066,256
UFPR05,camera5,0.824 ~ 0.055,512
UFPR05,camera5,0.809 ~ 0.048,1024
UFPR05,camera6,0.779 ~ 0.090,64
UFPR05,camera6,0.832 ~ 0.052,128
UFPR05,camera6,0.867 ~ 0.041,256
UFPR05,camera6,0.872 ~ 0.039,512
UFPR05,camera6,0.868 ~ 0.029,1024
UFPR05,camera7,0.712 ~ 0.082,64
UFPR05,camera7,0.737 ~ 0.060,128
UFPR05,camera7,0.784 ~ 0.053,256
UFPR05,camera7,0.778 ~ 0.048,512
UFPR05,camera7,0.770 ~ 0.051,1024
UFPR05,camera8,0.779 ~ 0.089,64
UFPR05,camera8,0.832 ~ 0.058,128
UFPR05,camera8,0.872 ~ 0.049,256
UFPR05,camera8,0.871 ~ 0.040,512
UFPR05,camera8,0.860 ~ 0.034,1024
UFPR05,camera9,0.704 ~ 0.095,64
UFPR05,camera9,0.742 ~ 0.057,128
UFPR05,camera9,0.773 ~ 0.060,256
UFPR05,camera9,0.770 ~ 0.063,512
UFPR05,camera9,0.759 ~ 0.051,1024
